time,open,high,low,close,tick_volume,spread,real_volume
1704186000,138045.0,138045.0,137090.0,137095.0,16,5,65
1704186300,137090.0,137090.0,136950.0,136970.0,10,5,35
1704186600,136970.0,136985.0,136970.0,136985.0,2,5,3
1704186900,136995.0,136995.0,136990.0,136990.0,2,5,2
1704187200,136995.0,137045.0,136995.0,137045.0,2,5,2
1704187500,137140.0,137250.0,137140.0,137250.0,3,5,3
1704187800,137185.0,137210.0,137185.0,137210.0,4,5,7
1704188400,137240.0,137245.0,137240.0,137245.0,4,5,60
1704188700,137250.0,137295.0,137250.0,137295.0,5,5,21
1704189000,137290.0,137300.0,137255.0,137300.0,5,5,9
1704189300,137350.0,137350.0,137350.0,137350.0,1,5,1
1704189600,137210.0,137230.0,137195.0,137230.0,5,5,26
1704189900,137245.0,137360.0,137245.0,137360.0,4,5,4
1704190500,137150.0,137230.0,137130.0,137230.0,15,5,105
1704190800,137130.0,137180.0,137065.0,137175.0,7,5,105
1704191100,137005.0,137005.0,136880.0,136880.0,7,5,13
1704191400,136820.0,136900.0,136815.0,136875.0,9,5,27
1704191700,137105.0,137285.0,137105.0,137285.0,4,5,18
1704192000,137280.0,137315.0,137240.0,137240.0,7,5,23
1704192300,137240.0,137240.0,137240.0,137240.0,1,5,1
1704192600,137095.0,137095.0,137095.0,137095.0,1,5,50
1704193200,137055.0,137055.0,137055.0,137055.0,1,5,2
1704193500,137200.0,137215.0,137200.0,137215.0,2,5,60
1704194100,137180.0,137180.0,137180.0,137180.0,1,5,1
1704194400,137120.0,137120.0,137120.0,137120.0,1,5,1
1704194700,137105.0,137120.0,137070.0,137070.0,4,5,6
1704195000,137115.0,137115.0,137110.0,137110.0,2,5,2
1704195300,137300.0,137445.0,137270.0,137270.0,8,5,40
1704195600,137210.0,137210.0,137210.0,137210.0,1,5,1
1704195900,137260.0,137260.0,137260.0,137260.0,1,5,1
1704196200,137245.0,137415.0,137245.0,137355.0,5,5,25
1704197100,137190.0,137190.0,137190.0,137190.0,1,5,1
1704197400,137095.0,137155.0,137080.0,137080.0,4,5,4
1704198000,136910.0,136935.0,136905.0,136920.0,6,5,13
1704198300,136970.0,136970.0,136640.0,136815.0,13,5,28
1704198600,136855.0,136855.0,136855.0,136855.0,1,5,1
1704199500,136735.0,136735.0,136735.0,136735.0,2,5,10
1704200100,136705.0,136705.0,136680.0,136680.0,2,5,7
1704200400,136725.0,136770.0,136725.0,136770.0,3,5,3
1704200700,136805.0,136855.0,136805.0,136855.0,4,5,4
1704201000,136870.0,136870.0,136870.0,136870.0,2,5,2
1704201600,136905.0,136905.0,136905.0,136905.0,2,5,2
1704201900,136900.0,136900.0,136900.0,136900.0,1,5,1
1704202500,136745.0,136745.0,136575.0,136580.0,7,5,7
1704202800,136545.0,136545.0,136540.0,136540.0,2,5,5
1704203100,136660.0,136660.0,136660.0,136660.0,1,5,2
1704203700,136825.0,136825.0,136825.0,136825.0,1,5,1
1704204600,136905.0,136970.0,136905.0,136970.0,2,5,2
1704206400,137050.0,137065.0,137050.0,137060.0,3,5,3
1704207000,136970.0,136970.0,136950.0,136950.0,3,5,11
1704207600,136715.0,136715.0,136505.0,136505.0,2,5,2
1704207900,136500.0,136500.0,136250.0,136250.0,10,5,19
1704208200,136355.0,136405.0,136355.0,136405.0,2,5,2
1704208500,136420.0,136485.0,136420.0,136485.0,2,5,8
1704208800,136520.0,136550.0,136520.0,136550.0,2,5,2
1704209100,136565.0,136595.0,136565.0,136590.0,3,5,10
1704209400,136540.0,136565.0,136540.0,136565.0,2,5,3
1704210000,136200.0,136245.0,136200.0,136245.0,4,5,4
1704210300,136195.0,136225.0,136170.0,136170.0,6,5,14
1704210600,136135.0,136135.0,136100.0,136100.0,3,5,7
1704210900,136100.0,136100.0,136010.0,136015.0,13,5,17
1704211200,136000.0,136000.0,135940.0,135965.0,4,5,13
1704211500,135880.0,135880.0,135760.0,135760.0,6,5,12
1704211800,135910.0,135985.0,135905.0,135985.0,13,5,13
1704212100,135975.0,135995.0,135940.0,135940.0,3,5,4
1704212400,136000.0,136035.0,136000.0,136020.0,8,5,10
1704212700,136020.0,136040.0,136015.0,136015.0,5,5,15
1704213000,136000.0,136015.0,136000.0,136015.0,2,5,2
1704213300,135915.0,135915.0,135870.0,135870.0,4,5,12
1704213900,135870.0,135870.0,135870.0,135870.0,1,5,1
1704214500,135900.0,135915.0,135900.0,135915.0,3,5,36
1704214800,135955.0,136000.0,135955.0,136000.0,5,5,30
1704215100,135970.0,135970.0,135970.0,135970.0,2,5,2
1704215400,135980.0,135980.0,135980.0,135980.0,3,5,25
1704215700,136070.0,136070.0,136070.0,136070.0,2,5,2
1704216000,136070.0,136070.0,136070.0,136070.0,1,5,5
1704216600,136055.0,136085.0,136055.0,136085.0,7,5,61
1704217200,136155.0,136155.0,136155.0,136155.0,1,5,1
1704217500,136155.0,136175.0,136155.0,136175.0,4,5,4
1704217800,136180.0,136290.0,136180.0,136290.0,12,5,12
1704218100,136455.0,136455.0,136385.0,136415.0,12,5,12
1704218400,136430.0,136430.0,136395.0,136400.0,5,5,5
1704218700,136380.0,136390.0,136380.0,136380.0,4,5,27
1704219000,136365.0,136365.0,136345.0,136345.0,4,5,13
1704219300,136365.0,136365.0,136360.0,136365.0,3,5,27
1704219600,136440.0,136455.0,136380.0,136380.0,5,5,12
1704272400,136100.0,136155.0,135900.0,135900.0,11,5,13
1704272700,135890.0,136010.0,135825.0,136005.0,17,5,110
1704273000,135970.0,136015.0,135970.0,136015.0,2,5,26
1704273300,135955.0,135955.0,135940.0,135940.0,2,5,2
1704274200,136020.0,136080.0,136020.0,136080.0,3,5,3
1704274500,136065.0,136115.0,136065.0,136115.0,6,5,30
1704274800,136135.0,136145.0,136135.0,136145.0,3,5,5
1704275100,136155.0,136235.0,136150.0,136235.0,6,5,66
1704275700,136160.0,136175.0,136160.0,136175.0,4,5,17
1704276000,136180.0,136190.0,136160.0,136160.0,5,5,27
1704276600,136110.0,136205.0,136110.0,136175.0,6,5,52
1704276900,136280.0,136450.0,136280.0,136450.0,7,5,7
1704277200,136450.0,136500.0,136440.0,136440.0,6,5,7
1704277500,136440.0,136440.0,136440.0,136440.0,2,5,4
1704277800,136510.0,136510.0,136510.0,136510.0,1,5,1
1704278400,136350.0,136350.0,136350.0,136350.0,1,5,1
1704278700,136210.0,136210.0,136195.0,136195.0,2,5,2
1704279000,136040.0,136040.0,135900.0,135900.0,4,5,17
1704279300,136000.0,136000.0,136000.0,136000.0,1,5,1
1704279600,135980.0,136090.0,135910.0,136020.0,11,5,56
1704280500,136220.0,136235.0,136220.0,136235.0,2,5,2
1704280800,136270.0,136270.0,136270.0,136270.0,1,5,1
1704281700,136395.0,136680.0,136395.0,136680.0,11,5,14
1704282000,136640.0,136640.0,136475.0,136475.0,5,5,13
1704282300,136415.0,136515.0,136415.0,136515.0,3,5,5
1704282600,136680.0,136750.0,136485.0,136485.0,8,5,8
1704282900,136480.0,136480.0,136480.0,136480.0,1,5,1
1704283200,136550.0,136785.0,136550.0,136635.0,13,5,50
1704283500,136675.0,136695.0,136615.0,136615.0,7,5,7
1704283800,136635.0,136635.0,136535.0,136605.0,5,5,5
1704284100,136520.0,136750.0,136520.0,136750.0,7,5,7
1704284400,136650.0,136850.0,136650.0,136850.0,4,5,4
1704284700,136885.0,136915.0,136825.0,136915.0,7,5,8
1704285000,136780.0,136780.0,136670.0,136670.0,4,5,11
1704285300,136650.0,136650.0,136550.0,136550.0,3,5,6
1704285600,136470.0,136495.0,136470.0,136495.0,4,5,12
1704285900,136520.0,136520.0,136520.0,136520.0,1,5,1
1704286200,136650.0,136650.0,136650.0,136650.0,1,5,1
1704286500,136670.0,136670.0,136625.0,136625.0,4,5,4
1704286800,136745.0,136745.0,136745.0,136745.0,1,5,1
1704287100,136810.0,136810.0,136810.0,136810.0,1,5,2
1704287400,136750.0,136880.0,136750.0,136880.0,3,5,3
1704288000,136700.0,136700.0,136610.0,136610.0,7,5,126
1704288600,136685.0,136685.0,136685.0,136685.0,1,5,1
1704290100,136740.0,136740.0,136715.0,136715.0,2,5,2
1704290400,136685.0,136685.0,136615.0,136615.0,3,5,3
1704290700,136550.0,136550.0,136535.0,136535.0,2,5,26
1704291300,136730.0,136730.0,136730.0,136730.0,1,5,1
1704291600,136690.0,137130.0,136690.0,137070.0,238,5,4599
1704291900,136865.0,137165.0,136865.0,136895.0,283,5,4115
1704292200,136955.0,136955.0,136925.0,136925.0,3,5,17
1704292500,136980.0,136980.0,136910.0,136910.0,5,5,9
1704292800,136880.0,136900.0,136850.0,136900.0,11,5,74
1704293100,136890.0,136900.0,136890.0,136900.0,3,5,7
1704293700,136905.0,137100.0,136905.0,137100.0,45,5,575
1704294000,137090.0,137090.0,137065.0,137065.0,2,5,6
1704294300,137160.0,137165.0,137100.0,137100.0,11,5,67
1704294900,137105.0,137110.0,137070.0,137070.0,9,5,16
1704295200,137135.0,137285.0,137135.0,137245.0,23,5,281
1704295500,137250.0,137305.0,137220.0,137250.0,398,5,1897
1704295800,137260.0,137260.0,137085.0,137110.0,80,5,140
1704296100,137095.0,137095.0,137025.0,137085.0,272,5,1913
1704296400,137080.0,137080.0,136970.0,136970.0,3,5,11
1704296700,136925.0,136960.0,136925.0,136925.0,4,5,10
1704297300,136905.0,136910.0,136865.0,136865.0,6,5,12
1704297600,136855.0,136855.0,136815.0,136830.0,6,5,12
1704297900,136815.0,136815.0,136815.0,136815.0,3,5,12
1704298200,136840.0,136890.0,136840.0,136850.0,3,5,9
1704298800,136815.0,136885.0,136815.0,136885.0,7,5,62
1704299100,137015.0,137180.0,137015.0,137140.0,25,5,183
1704299400,137230.0,137290.0,137015.0,137015.0,14,5,116
1704299700,136955.0,136955.0,136955.0,136955.0,1,5,5
1704300000,136910.0,136965.0,136910.0,136925.0,8,5,46
1704300300,136890.0,136970.0,136845.0,136845.0,16,5,336
1704300600,136825.0,136825.0,136775.0,136825.0,10,5,277
1704300900,136820.0,136820.0,136805.0,136805.0,2,5,7
1704301200,136760.0,136805.0,136760.0,136795.0,3,5,103
1704302100,136760.0,136760.0,136760.0,136760.0,1,5,2
1704302700,136815.0,136815.0,136815.0,136815.0,4,5,20
1704303000,136890.0,136890.0,136720.0,136720.0,7,5,32
1704303300,136695.0,136695.0,136615.0,136640.0,5,5,236
1704303600,136690.0,136710.0,136690.0,136700.0,10,5,64
1704303900,136635.0,136685.0,136635.0,136685.0,13,5,201
1704304200,136610.0,136630.0,136560.0,136560.0,40,5,1183
1704304500,136615.0,136645.0,136595.0,136615.0,14,5,129
1704304800,136625.0,136625.0,136545.0,136555.0,14,5,302
1704305100,136550.0,136555.0,136485.0,136555.0,43,5,665
1704305400,136560.0,136590.0,136550.0,136590.0,17,5,255
1704305700,136625.0,136650.0,136565.0,136650.0,19,5,197
1704358800,136620.0,136800.0,136620.0,136700.0,3,5,3
1704359100,136520.0,136525.0,136405.0,136460.0,54,5,784
1704359400,136455.0,136500.0,136455.0,136475.0,35,5,50
1704359700,136470.0,136490.0,136470.0,136490.0,7,5,62
1704360600,136575.0,136575.0,136575.0,136575.0,1,5,10
1704361200,136490.0,136490.0,136490.0,136490.0,1,5,1
1704361800,136465.0,136465.0,136455.0,136455.0,2,5,2
1704362100,136385.0,136385.0,136300.0,136305.0,12,5,77
1704362400,136275.0,136275.0,136215.0,136230.0,136,5,963
1704362700,136270.0,136275.0,136125.0,136180.0,246,5,1139
1704363000,136175.0,136250.0,136100.0,136115.0,180,5,2901
1704363300,136050.0,136170.0,136050.0,136090.0,26,5,353
1704363600,136095.0,136095.0,136080.0,136080.0,3,5,5
1704364200,136085.0,136085.0,135920.0,135990.0,34,5,250
1704364500,135975.0,135980.0,135900.0,135900.0,8,5,58
1704364800,135860.0,135885.0,135850.0,135850.0,11,5,78
1704365100,135805.0,135805.0,135660.0,135740.0,19,5,63
1704365400,135735.0,135755.0,135720.0,135740.0,6,5,101
1704365700,135800.0,135800.0,135775.0,135780.0,6,5,17
1704366300,135645.0,135645.0,134965.0,135065.0,134,5,1380
1704366600,135245.0,135250.0,134875.0,135205.0,250,5,4222
1704366900,135240.0,135390.0,135240.0,135370.0,161,5,3424
1704367200,135305.0,135335.0,135290.0,135310.0,30,5,971
1704367500,135255.0,135255.0,134990.0,135020.0,141,5,2641
1704367800,134945.0,135210.0,134850.0,135205.0,95,5,1917
1704368100,135135.0,135170.0,135135.0,135170.0,3,5,5
1704368400,135085.0,135260.0,135085.0,135210.0,277,5,4920
1704368700,135160.0,135165.0,135080.0,135080.0,51,5,1317
1704369000,135115.0,135325.0,135115.0,135310.0,150,5,2010
1704369300,135290.0,135345.0,135265.0,135320.0,20,5,435
1704369600,135370.0,135580.0,135370.0,135580.0,8,5,29
1704369900,135550.0,135550.0,135490.0,135490.0,2,5,11
1704370200,135455.0,135455.0,135435.0,135435.0,2,5,2
1704370800,135375.0,135375.0,135375.0,135375.0,1,5,1
1704371700,135530.0,135530.0,135530.0,135530.0,1,5,1
1704372000,135615.0,135630.0,135540.0,135630.0,6,5,55
1704372300,135600.0,135600.0,135600.0,135600.0,1,5,1
1704372600,135560.0,135560.0,135560.0,135560.0,1,5,1
1704372900,135550.0,135565.0,135550.0,135565.0,2,5,6
1704373200,135475.0,135475.0,135475.0,135475.0,1,5,1
1704373500,135455.0,135455.0,135455.0,135455.0,1,5,10
1704373800,135445.0,135480.0,135445.0,135480.0,2,5,2
1704374100,135595.0,135595.0,135575.0,135575.0,4,5,20
1704374400,135560.0,135580.0,135560.0,135580.0,2,5,2
1704374700,135610.0,135610.0,135560.0,135560.0,4,5,4
1704375000,135520.0,135520.0,135505.0,135505.0,2,5,2
1704375300,135385.0,135455.0,135385.0,135455.0,6,5,28
1704375600,135300.0,135300.0,135280.0,135280.0,3,5,137
1704375900,135365.0,135365.0,135365.0,135365.0,1,5,1
1704376200,135270.0,135275.0,135060.0,135180.0,391,5,8068
1704376500,135180.0,135230.0,135180.0,135205.0,89,5,721
1704376800,135205.0,135230.0,135090.0,135150.0,99,5,1811
1704377100,135145.0,135190.0,135120.0,135120.0,24,5,469
1704377400,135105.0,135135.0,135025.0,135130.0,43,5,1521
1704377700,135060.0,135085.0,135060.0,135060.0,5,5,16
1704378000,135045.0,135045.0,134975.0,135000.0,14,5,546
1704378300,135090.0,135095.0,134980.0,134995.0,208,5,1049
1704378600,135030.0,135035.0,134900.0,135035.0,29,5,492
1704378900,135015.0,135175.0,135015.0,135150.0,723,5,5639
1704379200,135145.0,135150.0,134920.0,134950.0,306,5,5038
1704379500,134950.0,134990.0,134905.0,134905.0,48,5,288
1704379800,134865.0,134895.0,134845.0,134850.0,10,5,47
1704380100,134840.0,134840.0,134715.0,134785.0,17,5,245
1704380400,134730.0,134730.0,134665.0,134690.0,10,5,52
1704380700,134675.0,134845.0,134675.0,134810.0,459,5,8866
1704381000,134780.0,134790.0,134740.0,134740.0,15,5,556
1704381300,134785.0,134900.0,134785.0,134860.0,9,5,98
1704381600,134845.0,134880.0,134845.0,134880.0,4,5,305
1704381900,134915.0,134925.0,134915.0,134925.0,2,5,6
1704382200,134950.0,135010.0,134950.0,135000.0,9,5,739
1704382500,134980.0,134995.0,134910.0,134930.0,100,5,3037
1704382800,134940.0,135010.0,134940.0,135000.0,40,5,1055
1704383100,134955.0,134985.0,134940.0,134985.0,36,5,512
1704383400,134975.0,134975.0,134925.0,134940.0,7,5,850
1704383700,134910.0,134915.0,134865.0,134910.0,44,5,653
1704384000,134960.0,134960.0,134830.0,134830.0,5,5,464
1704384300,134830.0,134830.0,134750.0,134770.0,55,5,1376
1704384600,134730.0,134730.0,134565.0,134625.0,87,5,483
1704384900,134680.0,134725.0,134680.0,134725.0,10,5,90
1704385200,134810.0,134830.0,134795.0,134795.0,4,5,13
1704386100,134700.0,134700.0,134700.0,134700.0,1,5,1
1704386400,134625.0,134625.0,134625.0,134625.0,1,5,1
1704387000,134830.0,134900.0,134830.0,134900.0,3,5,19
1704387300,134825.0,134950.0,134825.0,134950.0,7,5,36
1704387600,134950.0,134950.0,134930.0,134930.0,3,5,7
1704387900,134940.0,134940.0,134940.0,134940.0,1,5,1
1704388200,134800.0,134800.0,134775.0,134790.0,5,5,11
1704388500,134695.0,134730.0,134695.0,134730.0,4,5,4
1704388800,134760.0,134800.0,134760.0,134800.0,5,5,9
1704389100,134810.0,134840.0,134810.0,134840.0,2,5,4
1704389400,134945.0,135000.0,134945.0,134950.0,7,5,9
1704389700,134950.0,134950.0,134895.0,134940.0,4,5,6
1704390000,134850.0,134850.0,134830.0,134845.0,3,5,16
1704390300,134925.0,134925.0,134765.0,134790.0,9,5,43
1704390600,134760.0,134760.0,134700.0,134740.0,8,5,46
1704390900,134785.0,134785.0,134750.0,134750.0,6,5,34
1704391200,134795.0,134795.0,134790.0,134790.0,3,5,12
1704391500,134795.0,134795.0,134795.0,134795.0,1,5,1
1704391800,134755.0,134755.0,134725.0,134735.0,6,5,55
1704392100,134700.0,134780.0,134700.0,134780.0,7,5,22
1704445200,134500.0,134650.0,134420.0,134480.0,22,5,139
1704445500,134490.0,134540.0,134490.0,134540.0,3,5,14
1704445800,134570.0,134620.0,134560.0,134620.0,10,5,54
1704446100,134480.0,134485.0,134460.0,134460.0,5,5,12
1704446400,134490.0,134500.0,134445.0,134490.0,27,5,35
1704446700,134495.0,134495.0,134425.0,134425.0,51,5,110
1704447000,134415.0,134415.0,134385.0,134385.0,2,5,4
1704447300,134385.0,134385.0,134345.0,134345.0,6,5,52
1704447600,134430.0,134430.0,134410.0,134410.0,4,5,4
1704448200,134345.0,134345.0,134305.0,134305.0,6,5,29
1704448500,134315.0,134315.0,134315.0,134315.0,1,5,5
1704448800,134325.0,134405.0,134285.0,134385.0,24,5,96
1704449100,134390.0,134445.0,134365.0,134445.0,23,5,180
1704449400,134535.0,134725.0,134535.0,134705.0,14,5,38
1704449700,134750.0,134800.0,134655.0,134740.0,9,5,35
1704450000,134735.0,134735.0,134635.0,134635.0,4,5,38
1704450300,134550.0,134800.0,134530.0,134790.0,34,5,64
1704450600,134480.0,134535.0,134020.0,134465.0,55,5,277
